TLS_ECDH_RSA_WITH_NULL_SHA,0xC00B
TLS_ECDH_RSA_WITH_RC4_128_SHA,0xC00C
TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA,0xC00D
TLS_ECDH_RSA_WITH_AES_128_CBC_SHA,0xC00E
TLS_ECDH_RSA_WITH_AES_256_CBC_SHA,0xC00F
TLS_ECDHE_RSA_WITH_NULL_SHA,0xC010
TLS_ECDHE_RSA_WITH_RC4_128_SHA,0xC011
TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,0xC012
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,0xC013
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,0xC014
TLS_ECDH_anon_WITH_NULL_SHA,0xC015
TLS_ECDH_anon_WITH_RC4_128_SHA,0xC016
TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA,0xC017
TLS_ECDH_anon_WITH_AES_128_CBC_SHA,0xC018
TLS_ECDH_anon_WITH_AES_256_CBC_SHA,0xC019
TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,0xC023
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,0xC027
TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,0xC02B
TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256,0xC02D
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,0xC02F
TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256,0xC031
SSL_RSA_OLDFIPS_WITH_3DES_EDE_CBC_SHA,0xffe0
SSL_RSA_OLDFIPS_WITH_DES_CBC_SHA,0xffe1
SSL_RSA_FIPS_WITH_3DES_EDE_CBC_SHA,0xfeff
SSL_RSA_FIPS_WITH_DES_CBC_SHA,0xfefe
